turn number,turn,node number,decition time,move,
0,white,9627,0.00174358161166310310,White pawn from E2 to E3,
1,black,13708,0.00249215075746178627,Black pawn from G7 to G5,
2,white,31185,0.00609607202932238579,White knight from G1 to F3,
3,black,18075,0.00362345809116959572,Black pawn from F7 to F6,
4,white,40778,0.00883763702586293221,White pawn from H2 to H4,
5,black,86434,0.01901561766862869263,Black bishop from F8 to H6,
6,white,1025964,0.24314143555238842964,White pawn from G2 to G4,
7,black,339847,0.08374634990468621254,Black pawn from C7 to C6,
8,white,1439607,0.35615583835169672966,White bishop from F1 to G2,
9,black,390349,0.09900058573111891747,Black pawn from E7 to E5,
10,white,30063982,7.89200336532667279243,White pawn from H4 to H5,
11,black,133665,0.03578234696760773659,Black pawn from D7 to D6,
12,white,2501844,0.65142423752695322037,White knight from F3 to H2,
13,black,152831,0.03922332357615232468,Black king from E8 to F7,
14,white,339370,0.08770361496135592461,White queen from D1 to E2,
15,black,299693,0.07577665802091360092,Black queen from D8 to A5,
16,white,681909,0.18141638068482279778,White queen from E2 to F3,
17,black,714273,0.18262133747339248657,Black knight from B8 to D7,
18,white,1991778,0.50771849928423762321,White rook from H1 to G1,
19,black,709287,0.18373685749247670174,Black rook from A8 to B8,
20,white,1148990,0.29434516979381442070,White king from E1 to D1,
21,black,921789,0.23995596729218959808,Black king from F7 to E7,
22,white,2089110,0.51538953976705670357,White king from D1 to E2,
23,black,3294650,0.84322831826284527779,Black queen from A5 to A6,
24,white,56795,0.01444633398205041885,White king from E2 to D1,
25,black,639814,0.17287579737603664398,Black king from E7 to E8,
26,white,9324917,2.41176387853920459747,White bishop from G2 to F1,
27,black,489526,0.12835084646940231323,Black queen from A6 to B6,
28,white,2455931,0.61539682000875473022,White bishop from F1 to D3,
29,black,919221,0.23617850290611386299,Black knight from D7 to C5,
30,white,27135966,7.20147908991202712059,White bishop from D3 to E2,
31,black,1992142,0.54165782732889056206,Black knight from C5 to D7,
32,white,2298641,0.57740338845178484917,White queen from F3 to F5,
33,black,4410256,1.14957920229062438011,Black pawn from A7 to A5,
34,white,5687465,1.44392246799543499947,White queen from F5 to E6,
35,black,87491,0.02319704880937933922,Black king from E8 to D8,
36,white,807565,0.20288299862295389175,White queen from E6 to D6,
37,black,1483091,0.38734871614724397659,Black pawn from C6 to C5,
38,white,503187,0.12650990905240178108,White queen from D6 to D5,
39,black,1604455,0.43330817809328436852,Black bishop from H6 to G7,
40,white,849605,0.21200302056968212128,White queen from D5 to H1,
41,black,481414,0.12397306691855192184,Black knight from G8 to E7,
42,white,207482,0.04981174040585756302,White pawn from B2 to B3,
43,black,439864,0.11099513247609138489,Black bishop from G7 to H6,
44,white,821670,0.20776811568066477776,White pawn from C2 to C4,
45,black,461951,0.11854467075318098068,Black rook from H8 to F8,
46,white,2600860,0.64788168156519532204,White queen from H1 to G2,
47,black,658548,0.16358672594651579857,Black king from D8 to E8,
48,white,1816445,0.43626595614477992058,White queen from G2 to H3,
49,black,214867,0.05527694290503859520,Black queen from B6 to A6,
50,white,449360,0.11296054115518927574,White knight from B1 to C3,
51,black,569240,0.14316834509372711182,Black knight from D7 to B6,
52,white,1429825,0.37098142458125948906,White rook from G1 to F1,
53,black,758127,0.20098917931318283081,Black knight from E7 to C6,
54,white,922476,0.24291979335248470306,White bishop from C1 to A3,
55,black,7518061,1.94376334315165877342,Black knight from B6 to D7,
56,white,2356525,0.61576823750510811806,White king from D1 to E1,
57,black,8197127,2.08304418018087744713,Black knight from C6 to A7,
58,white,2574226,0.66438178950920701027,White knight from C3 to D1,
59,black,7035174,1.69822692777961492538,Black rook from F8 to H8,
60,white,1385917,0.35237349430099129677,White queen from H3 to F3,
61,black,4438596,1.06685558194294571877,Black rook from H8 to F8,
62,white,10824117,2.64531159214675426483,White rook from F1 to G1,
63,black,19767089,4.65845181141048669815,Black rook from F8 to H8,
64,white,4562980,1.11141784302890300751,White queen from F3 to D5,
65,black,9496780,2.34899001196026802063,Black queen from A6 to B6,
66,white,9776222,2.37434706417843699455,White queen from D5 to F3,
67,black,11758711,2.77170238876715302467,Black knight from D7 to F8,
68,white,226309719,54.02364018326625227928,White rook from G1 to G2,
69,black,114419596,26.59450264507904648781,Black king from E8 to E7,
70,white,236857,0.06291588116437196732,White queen from F3 to H3,
71,black,639657,0.16830902919173240662,Black knight from F8 to D7,
72,white,196725,0.04965253919363021851,White knight from D1 to C3,
73,black,135110,0.03389253886416554451,Black rook from H8 to E8,
74,white,111700,0.02841156674548983574,White knight from C3 to D5,
75,black,60343,0.01684698788449168205,Black king from E7 to D6,
76,white,1859927,0.50187792815268039703,White knight from D5 to B6,
77,black,1804678,0.48300561122596263885,Black knight from D7 to B6,
78,white,358420,0.09497319348156452179,White rook from A1 to B1,
79,black,929323,0.24721300369128584862,Black rook from E8 to D8,
80,white,712039,0.18450923962518572807,White rook from B1 to A1,
81,black,693349,0.18587985355406999588,Black bishop from C8 to D7,
82,white,2111159,0.56416541012004017830,White queen from H3 to G3,
83,black,3848024,1.01748023647814989090,Black bishop from D7 to C6,
84,white,1058589,0.27893607039004564285,White pawn from F2 to F3,
85,black,748431,0.20149264950305223465,Black rook from D8 to C8,
86,white,649062,0.17276093969121575356,White pawn from D2 to D4,
87,black,518638,0.14344892976805567741,Black knight from B6 to D7,
88,white,929046,0.24730124697089195251,White rook from A1 to D1,
89,black,1635562,0.43055030284449458122,Black rook from C8 to G8,
90,white,827339,0.22800758201628923416,White pawn from D4 to E5,
91,black,67512,0.01798100210726261139,Black king from D6 to E6,
92,white,38014744,9.06449867738410830498,White rook from D1 to D6,
93,black,337912,0.09096684027463197708,Black king from E6 to E7,
94,white,17209949,4.46250167954713106155,White pawn from E5 to E6,
95,black,7256105,1.88283012202009558678,Black knight from D7 to E5,
96,white,9797550,2.46601368486881256104,White bishop from A3 to C5,
97,black,2669773,0.69295792840421199799,Black pawn from B7 to B6,
98,white,7883791,1.99265213357284665108,White rook from D6 to C6,
99,black,58918,0.01527525996789336205,Black pawn from B6 to C5,
100,white,202825,0.05259489594027400017,White rook from C6 to C7,
101,black,69151,0.01925055775791406631,Black king from E7 to E6,
102,white,283281,0.07737748324871063232,White rook from C7 to A7,
103,black,298256,0.08435150934383273125,Black rook from G8 to F8,
104,white,163194,0.04512782767415046692,White rook from G2 to F2,
105,black,571628,0.15759232873097062111,Black rook from B8 to C8,
106,white,158286,0.04277240391820669174,White pawn from E3 to E4,
107,black,325083,0.08922587241977453232,Black rook from F8 to G8,
108,white,124914,0.03318226849660277367,White queen from G3 to G2,
109,black,149298,0.04107671556994318962,Black bishop from H6 to G7,
110,white,92754,0.02365845674648880959,White rook from A7 to A5,
111,black,148540,0.03843231312930583954,Black pawn from H7 to H6,
112,white,123545,0.03127069678157567978,White pawn from A2 to A4,
113,black,115239,0.03022370301187038422,Black rook from G8 to D8,
114,white,110386,0.02851025760173797607,White queen from G2 to H1,
115,black,128911,0.03281402867287397385,Black king from E6 to D7,
116,white,220990,0.05252823885530233383,White pawn from F3 to F4,
117,black,363488,0.08824296388775110245,Black pawn from G5 to F4,
118,white,210801,0.05117681622505187988,White rook from F2 to F1,
119,black,66567,0.01612811442464590073,Black rook from D8 to F8,
120,white,359225,0.08553186058998107910,White rook from A5 to A7,
121,black,33662,0.00785589823499321938,Black rook from C8 to C7,
122,white,376230,0.08817503415048122406,White rook from A7 to C7,
123,black,7048,0.00172682944685220718,Black king from D7 to C7,
124,white,33098,0.00746980216354131699,White rook from F1 to F4,
125,black,65015,0.01451219432055950165,Black rook from F8 to F7,
126,white,55622,0.01244321046397089958,White knight from H2 to F1,
127,black,37348,0.00826501054689288139,Black king from C7 to B7,
128,white,65121,0.01392769068479537964,White queen from H1 to H4,
129,black,46167,0.01049936143681406975,Black bishop from G7 to H8,
130,white,107971,0.02392670558765530586,White rook from F4 to F5,
131,black,55539,0.01295512728393077850,Black king from B7 to B6,
132,white,74982,0.01727001043036580086,White knight from F1 to G3,
133,black,47822,0.01160961110144853592,Black king from B6 to A6,
134,white,55717,0.01289065647870302200,White rook from F5 to F4,
135,black,37255,0.00894647277891635895,Black bishop from H8 to G7,
136,white,57834,0.01339200232177972794,White king from E1 to D2,
137,black,36121,0.00893474137410521507,Black king from A6 to A7,
138,white,110749,0.02561507327482104301,White knight from G3 to F5,
139,black,52622,0.01273757545277476311,Black bishop from G7 to F8,
140,white,135806,0.03187998896464705467,White knight from F5 to G3,
141,black,51367,0.01201643049716949463,Black bishop from F8 to G7,
142,white,110749,0.02557149808853864670,White bishop from E2 to D3,
143,black,46834,0.01130895689129829407,Black rook from F7 to D7,
144,white,14287,0.00372085487470030785,White rook from F4 to F6,
145,black,50652,0.01299072848632931709,Black rook from D7 to D3,
146,white,8856,0.00210527610033750534,White king from D2 to C1,
147,black,75230,0.01730874367058277130,Black rook from D3 to C3,
148,white,4409,0.00115672172978520393,White king from C1 to D1,
149,black,57233,0.01319091487675905228,Black rook from C3 to G3,
150,white,14301,0.00337227294221520424,White rook from F6 to A6,
151,black,14751,0.00335289817303419113,Black king from A7 to A6,
152,white,2322,0.00066128373146057129,White queen from H4 to G3,
153,black,9915,0.00213787099346518517,Black knight from E5 to D7,
154,white,9330,0.00187492417171597481,White queen from G3 to C7,
155,black,6609,0.00154858734458684921,Black knight from D7 to E5,
156,white,6912,0.00154799642041325569,White queen from C7 to G7,
157,black,3486,0.00088292220607399940,Black knight from E5 to C6,
158,white,4273,0.00090522272512316704,White king from D1 to D2,
159,black,3878,0.00098681543022394180,Black knight from C6 to A7,
160,white,2310,0.00053195701912045479,White queen from G7 to C7,
161,black,730,0.00022562453523278236,Black knight from A7 to C6,
162,white,2246,0.00053653819486498833,White queen from C7 to C6,
163,black,117,0.00005047814920544624,Black king from A6 to A7,
164,white,1294,0.00027039181441068649,White queen from C6 to C7,
165,black,225,0.00007948419079184532,Black king from A7 to A8,
166,white,526,0.00012056762352585793,White pawn from A4 to A5,
167,black,0,0.00000048894435167313,Stalemate,
